model,kw,n,rouge1_f,rouge2_f,rougeL_f,bleu
bart-base_cs,KW,200,0.2210299897404202,0.09029654314788871,0.15326094446416974,3.24697708335066
bart-base_cs,noKW,200,0.22164574145229984,0.08500456205116587,0.1538209773753688,2.922289750456642
bert2bert_cs,KW,200,0.10356861438117967,0.005897989434709895,0.08544684508629703,0.975260119210458
bert2bert_cs,noKW,200,0.10736099430947663,0.008013330216611558,0.08681155021216286,0.9860508439993554
t5-base,zero-shot,200,0.27311861796875275,0.09835374845379205,0.19741111128214708,4.4669366941263915
t5-base_cs,KW,200,0.24232000685417984,0.0983771660238437,0.1737606416202897,3.992686241012803
t5-base_cs,KWplus,200,0.24042267178014723,0.09976393262707446,0.1714824846189602,3.8278581663530002
t5-base_cs,KWprefix,200,0.2431220477266663,0.10550932867567589,0.17800379724387352,4.115107480528028
t5-base_cs,noKW,200,0.23470068421123522,0.09622529610257631,0.17099463417261876,3.7562645030235244
