model,kw,rouge1_f_mean,rouge1_f_std,rouge2_f_mean,rouge2_f_std,rougeL_f_mean,rougeL_f_std,bleu_mean,bleu_std,rouge1_f_ci95,rouge2_f_ci95,rougeL_f_ci95,bleu_ci95
bart-base_cs,KW,0.2212392099806377,0.0008615426610154237,0.09286857704220726,0.0027613421074057943,0.1564382053082065,0.0037232451951673975,3.409621920725014,0.18050437011104734,0.0009749272990209787,0.003124752753709357,0.004213248566750202,0.20425992348009336
bart-base_cs,noKW,0.22031375208578052,0.0015250238096888146,0.08714779207729402,0.0024195337970465253,0.15530033144782204,0.0012896379572706162,3.157055093129111,0.22123217027166864,0.0017257268978070662,0.00273796023851489,0.0014593627307032011,0.25034776799711594
bert2bert_cs,KW,0.10466039662018585,0.001554871177992621,0.005735095048161387,0.0002185177927544326,0.08429731547034881,0.0018374405305450411,0.9759379389998949,0.0006918049011701876,0.001759502374611686,0.00024727616068020964,0.002079259698463008,0.0007828509419979287
bert2bert_cs,noKW,0.10865039847373292,0.0012429560223372958,0.008054674398207142,0.0003471837919077314,0.08581315849147646,0.0009024175962998952,1.0078558459405482,0.02353082690058692,0.0014065371484111126,0.00039287544520375894,0.0010211816426045895,0.02662763732080439
t5-base,zero-shot,0.2743257440362401,0.002601415140066218,0.10137750821928748,0.002817882884490902,0.2005119518994126,0.005221930074033529,4.836291637030874,0.361270505245317,0.0029437783535267445,0.0031887346661350954,0.005909170158508016,0.40881606196916553
t5-base_cs,KW,0.24283988682304458,0.003457040210692452,0.10065751619797687,0.0026875813833156176,0.17774309600089858,0.004277087457369504,4.114217433302526,0.16668224916231147,0.003912009268635582,0.0030412846368475448,0.004839980085925315,0.18861872118906603
t5-base_cs,KWplus,0.2391472920929578,0.002049000971185049,0.0995165060156485,0.002910350862152038,0.17330088366091143,0.0037277773777783124,3.919663739050733,0.20435684056025058,0.0023186628740756413,0.003293372033251486,0.004218377214177049,0.23125153474007587
t5-base_cs,KWprefix,0.2411302372518566,0.0019213502674320121,0.10357226906129262,0.002167850210262343,0.17603357710893472,0.003107363515100861,4.077065538743997,0.1527882530576756,0.0021742125044544856,0.0024531534488171944,0.003516312837350459,0.17289618450244837
t5-base_cs,noKW,0.23723329411806174,0.0036446422598275774,0.09589969329114796,0.0026351224927199613,0.1714320545973009,0.0019909036539182555,3.817261256815014,0.13788427378207968,0.004124300972030231,0.002981921813818231,0.0022529195706198248,0.1560307442667955
